[23-Jan-2018 16:59:39 Asia/Tokyo] PHP Fatal error:  Call to undefined method Cake\Controller\Component\AuthComponent::login() in /home/ubuntu/workspace/my_app_name/src/Controller/UsersController.php on line 20
[23-Jan-2018 18:02:04 Asia/Tokyo] PHP Fatal error:  Function name must be a string in /home/ubuntu/workspace/my_app_name/src/Model/Entity/User.php on line 44
[25-Jan-2018 12:06:07 Asia/Tokyo] PHP Fatal error:  Call to undefined method Cake\Network\Session::distroy() in /home/ubuntu/workspace/my_app_name/src/Controller/UsersController.php on line 36
[25-Jan-2018 12:14:50 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 71
[25-Jan-2018 12:16:52 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 71
[25-Jan-2018 12:17:11 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 71
[25-Jan-2018 12:17:12 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 71
[25-Jan-2018 12:17:13 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 71
[25-Jan-2018 12:17:14 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 71
[25-Jan-2018 12:17:18 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 71
[25-Jan-2018 12:18:31 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 71
[25-Jan-2018 12:19:03 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 71
[25-Jan-2018 12:19:17 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 71
[25-Jan-2018 12:24:45 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '==' (T_IS_EQUAL), expecting ')' in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 30
[25-Jan-2018 12:25:23 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 33
[25-Jan-2018 12:29:58 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 33
[25-Jan-2018 12:30:48 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 33
[25-Jan-2018 12:31:27 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/ubuntu/workspace/my_app_name/src/Controller/AppController.php on line 33
[25-Jan-2018 13:10:14 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Users/index.ctp on line 11
[25-Jan-2018 13:11:50 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Users/index.ctp on line 11
[25-Jan-2018 13:11:53 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Users/index.ctp on line 11
[25-Jan-2018 13:12:03 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Users/index.ctp on line 11
[25-Jan-2018 13:17:25 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Users/index.ctp on line 11
[25-Jan-2018 13:18:11 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Users/index.ctp on line 11
[25-Jan-2018 13:18:26 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Users/index.ctp on line 11
[25-Jan-2018 13:18:27 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Users/index.ctp on line 11
[25-Jan-2018 13:18:29 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Users/index.ctp on line 11
[01-Feb-2018 00:02:54 Asia/Tokyo] PHP Fatal error:  Call to undefined method App\Controller\HomesController::link() in /home/ubuntu/workspace/my_app_name/src/Controller/HomesController.php on line 11
[01-Feb-2018 00:16:45 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Contents/index.ctp on line 19
[01-Feb-2018 00:34:13 Asia/Tokyo] PHP Fatal error:  Class 'App\Controller\Router' not found in /home/ubuntu/workspace/my_app_name/src/Controller/ContentsController.php on line 10
[01-Feb-2018 00:34:30 Asia/Tokyo] PHP Fatal error:  Class 'App\Controller\Router' not found in /home/ubuntu/workspace/my_app_name/src/Controller/ContentsController.php on line 9
[01-Feb-2018 00:36:13 Asia/Tokyo] PHP Fatal error:  Class 'App\Controller\Router' not found in /home/ubuntu/workspace/my_app_name/src/Controller/ContentsController.php on line 9
[01-Feb-2018 00:36:34 Asia/Tokyo] PHP Fatal error:  Class 'App\Controller\Router' not found in /home/ubuntu/workspace/my_app_name/src/Controller/ContentsController.php on line 9
[01-Feb-2018 23:08:13 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ')', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ubuntu/workspace/my_app_name/src/Controller/SpotsController.php on line 22
[03-Feb-2018 20:57:56 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'information' (T_STRING) in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 29
[03-Feb-2018 20:58:32 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'information' (T_STRING) in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 29
[03-Feb-2018 21:43:18 Asia/Tokyo] PHP Fatal error:  Call to a member function imag() on null in /home/ubuntu/workspace/my_app_name/src/Template/Spots/view.ctp on line 22
[03-Feb-2018 21:43:26 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '(', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ubuntu/workspace/my_app_name/src/Template/Spots/view.ctp on line 22
[03-Feb-2018 21:43:29 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '(', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ubuntu/workspace/my_app_name/src/Template/Spots/view.ctp on line 22
[05-Feb-2018 01:46:05 Asia/Tokyo] PHP Fatal error:  Call to a member function image() on null in /home/ubuntu/workspace/my_app_name/src/Template/Spots/view.ctp on line 22
[05-Feb-2018 01:46:10 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '(', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ubuntu/workspace/my_app_name/src/Template/Spots/view.ctp on line 22
[05-Feb-2018 13:12:10 Asia/Tokyo] PHP Fatal error:  Call to a member function link() on null in /home/ubuntu/workspace/my_app_name/src/Template/Spots/view.ctp on line 30
[05-Feb-2018 13:12:52 Asia/Tokyo] PHP Fatal error:  Call to a member function autoParagraph() on null in /home/ubuntu/workspace/my_app_name/src/Template/Spots/view.ctp on line 30
[05-Feb-2018 13:13:31 Asia/Tokyo] PHP Fatal error:  Call to a member function link() on null in /home/ubuntu/workspace/my_app_name/src/Template/Spots/view.ctp on line 30
[05-Feb-2018 13:30:56 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Spots/view.ctp on line 21
[05-Feb-2018 13:35:49 Asia/Tokyo] PHP Fatal error:  Unsupported operand types in /home/ubuntu/workspace/my_app_name/vendor/cakephp/cakephp/src/View/Helper/UrlHelper.php on line 80
[05-Feb-2018 13:36:10 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ')', expecting ',' or ';' in /home/ubuntu/workspace/my_app_name/src/Template/Spots/view.ctp on line 22
[05-Feb-2018 13:36:22 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ')', expecting ',' or ';' in /home/ubuntu/workspace/my_app_name/src/Template/Spots/view.ctp on line 22
[05-Feb-2018 13:46:36 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '5' (T_LNUMBER), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Spots/view.ctp on line 31
[05-Feb-2018 14:25:17 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:27:11 Asia/Tokyo] PHP Fatal error:  Call to a member function image() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:27:30 Asia/Tokyo] PHP Fatal error:  Call to a member function image() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:27:32 Asia/Tokyo] PHP Fatal error:  Call to a member function image() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:28:34 Asia/Tokyo] PHP Fatal error:  Call to a member function image() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:28:36 Asia/Tokyo] PHP Fatal error:  Call to a member function image() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:29:44 Asia/Tokyo] PHP Fatal error:  Call to a member function image() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:29:45 Asia/Tokyo] PHP Fatal error:  Call to a member function image() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:32:05 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ')', expecting ',' or ';' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 22
[05-Feb-2018 14:36:31 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:36:36 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:36:38 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:36:48 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:37:02 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ';', expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:37:15 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ';', expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 22
[05-Feb-2018 14:40:25 Asia/Tokyo] PHP Fatal error:  Call to a member function image() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:40:38 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'image' (T_STRING), expecting ',' or ';' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:41:57 Asia/Tokyo] PHP Fatal error:  Call to a member function link() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:43:42 Asia/Tokyo] PHP Fatal error:  Call to a member function link() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:45:45 Asia/Tokyo] PHP Fatal error:  Call to a member function link() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:46:05 Asia/Tokyo] PHP Fatal error:  Call to a member function link() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:46:07 Asia/Tokyo] PHP Fatal error:  Call to a member function link() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 19:41:40 Asia/Tokyo] PHP Fatal error:  Call to undefined method App\Application::_makeRoute() in /home/ubuntu/workspace/my_app_name/vendor/cakephp/cakephp/src/Routing/RouteBuilder.php on line 718
[05-Feb-2018 21:22:03 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ''1,400円～'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 30
